code,file_offset_hex,block_no,block_offset_hex,block_offset_bytes
516200,0x00006000,8433,0x041e2000,69083136
603995,0x00006080,1850,0x00e74000,15155200
240354,0x00006090,4977,0x026e2000,40771584
243105,0x000060a0,6541,0x0331a000,53583872
603996,0x00006100,1851,0x00e76000,15163392
232468,0x00006110,4644,0x02448000,38043648
243106,0x00006120,6542,0x0331c000,53592064
603997,0x00006180,1852,0x00e78000,15171584
243107,0x00006190,6543,0x0331e000,53600256
603998,0x00006200,1853,0x00e7a000,15179776
188289,0x00006210,4484,0x02308000,36732928
243108,0x00006220,6544,0x03320000,53608448
603999,0x00006280,1854,0x00e7c000,15187968
240358,0x00006290,4978,0x026e4000,40779776
243060,0x000062a0,6517,0x032ea000,53387264
243109,0x000062b0,6545,0x03322000,53616640
240359,0x00006300,4979,0x026e6000,40787968
243061,0x00006310,6518,0x032ec000,53395456
516160,0x00006480,8430,0x041dc000,69058560
600250,0x00006500,393,0x00312000,3219456
243065,0x00006510,6519,0x032ee000,53403648
600251,0x00006580,394,0x00314000,3227648
243066,0x00006590,6520,0x032f0000,53411840
600252,0x00006600,395,0x00316000,3235840
171511,0x00006610,3836,0x01df8000,31424512
233550,0x00006680,4691,0x024a6000,38428672
688500,0x00006700,2359,0x0126e000,19324928
152981,0x00006710,3640,0x01c70000,29818880
600255,0x00006780,396,0x00318000,3244032
688501,0x00006790,2360,0x01270000,19333120
152982,0x000067a0,3641,0x01c72000,29827072
600256,0x00006800,397,0x0031a000,3252224
603000,0x00006810,1232,0x009a0000,10092544
688502,0x00006820,2361,0x01272000,19341312
173090,0x00006830,3843,0x01e06000,31481856
241440,0x00006840,5646,0x02c1c000,46252032
000300,0x00006850,9032,0x04690000,73990144
600257,0x00006880,398,0x0031c000,3260416
603001,0x00006890,1233,0x009a2000,10100736
688503,0x000068a0,2362,0x01274000,19349504
241441,0x000068b0,5647,0x02c1e000,46260224
600258,0x00006900,399,0x0031e000,3268608
603002,0x00006910,1234,0x009a4000,10108928
562340,0x00006920,8775,0x0448e000,71884800
600259,0x00006980,400,0x00320000,3276800
603003,0x00006990,1235,0x009a6000,10117120
688505,0x000069a0,2363,0x01276000,19357696
152986,0x000069b0,3642,0x01c74000,29835264
603004,0x00006a00,1236,0x009a8000,10125312
688506,0x00006a10,2364,0x01278000,19365888
163625,0x00006a20,3809,0x01dc2000,31203328
241444,0x00006a30,5648,0x02c20000,46268416
603005,0x00006a80,1237,0x009aa000,10133504
688507,0x00006a90,2365,0x0127a000,19374080
152988,0x00006aa0,3643,0x01c76000,29843456
155739,0x00006ab0,3703,0x01cee000,30334976
241445,0x00006ac0,5649,0x02c22000,46276608
603006,0x00006b00,1238,0x009ac000,10141696
688508,0x00006b10,2366,0x0127c000,19382272
241446,0x00006b20,5650,0x02c24000,46284800
560720,0x00006b30,8673,0x043c2000,71049216
603007,0x00006b80,1239,0x009ae000,10149888
688509,0x00006b90,2367,0x0127e000,19390464
241447,0x00006ba0,5651,0x02c26000,46292992
603008,0x00006c00,1240,0x009b0000,10158080
173098,0x00006c10,3844,0x01e08000,31490048
241448,0x00006c20,5652,0x02c28000,46301184
244150,0x00006c30,7055,0x0371e000,57794560
603009,0x00006c80,1241,0x009b2000,10166272
241449,0x00006c90,5653,0x02c2a000,46309376
244152,0x00006d00,7056,0x03720000,57802752
512880,0x00006d10,8260,0x04088000,67665920
231891,0x00006d80,4609,0x02402000,37756928
244153,0x00006d90,7057,0x03722000,57810944
688466,0x00006e80,2343,0x0124e000,19193856
242531,0x00006e90,6244,0x030c8000,51150848
244155,0x00006ea0,7058,0x03724000,57819136
588410,0x00006eb0,8905,0x04592000,72949760
244156,0x00006f00,7059,0x03726000,57827328
688468,0x00006f80,2344,0x01250000,19202048
231895,0x00006f90,4610,0x02404000,37765120
242533,0x00006fa0,6245,0x030ca000,51159040
560680,0x00006fb0,8669,0x043ba000,71016448
000001,0x00007000,8,0x00010000,65536
600004,0x00007010,9,0x00012000,73728
600008,0x00007020,10,0x00014000,81920
600163,0x00007030,11,0x00016000,90112
000002,0x00007040,12,0x00018000,98304
000003,0x00007050,13,0x0001a000,106496
000004,0x00007060,14,0x0001c000,114688
000005,0x00007070,15,0x0001e000,122880
000006,0x00007080,16,0x00020000,131072
000007,0x00007090,17,0x00022000,139264
000008,0x000070a0,18,0x00024000,147456
